Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
10/2/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/2/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/2/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/3/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/3/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/3/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/4/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/4/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/4/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/5/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/5/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/5/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/6/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/6/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/6/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/7/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/7/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/7/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/8/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/8/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/8/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/9/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/9/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/9/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/10/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/10/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/10/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/11/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/11/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/11/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/12/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/12/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/12/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/13/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/13/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/13/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/14/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/14/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/14/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/15/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/15/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/15/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/16/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/16/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/16/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/17/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/17/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/17/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/18/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/18/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/18/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/19/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/19/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/19/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/20/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/20/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/20/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/21/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/21/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/21/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/22/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/22/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/22/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/23/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/23/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/23/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/24/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/24/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/24/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/25/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/25/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/25/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/26/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/26/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/26/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/27/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/27/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/27/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/28/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/28/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/28/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/29/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/29/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/29/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/30/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/30/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/30/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
10/31/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
10/31/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
10/31/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/1/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/1/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/1/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/2/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/2/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/2/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/3/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/3/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/3/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/4/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/4/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/4/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/5/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/5/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/5/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/6/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/6/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/6/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/7/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/7/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/7/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/8/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/8/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/8/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/9/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/9/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/9/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/10/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/10/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/10/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/11/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/11/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/11/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/12/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/12/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/12/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/13/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/13/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/13/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/14/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/14/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/14/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/15/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/15/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/15/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/16/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/16/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/16/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/17/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/17/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/17/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/18/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/18/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/18/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/19/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/19/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/19/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/20/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/20/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/20/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/21/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/21/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/21/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/22/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/22/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/22/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/23/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/23/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/23/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/24/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/24/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/24/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/25/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/25/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/25/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/26/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/26/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/26/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/27/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/27/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/27/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/28/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/28/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/28/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/29/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/29/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/29/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
11/30/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
11/30/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
11/30/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/1/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/1/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/1/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/2/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/2/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/2/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/3/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/3/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/3/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/4/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/4/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/4/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/5/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/5/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/5/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/6/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/6/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/6/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/7/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/7/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/7/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/8/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/8/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/8/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/9/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/9/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/9/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/10/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/10/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/10/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/11/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/11/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/11/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/12/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/12/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/12/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/13/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/13/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/13/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/14/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/14/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/14/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/15/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/15/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/15/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/16/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/16/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/16/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/17/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/17/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/17/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/18/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/18/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/18/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/19/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/19/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/19/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/20/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/20/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/20/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/21/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/21/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/21/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/22/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/22/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/22/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/23/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/23/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/23/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/24/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/24/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/24/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/25/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/25/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/25/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/26/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/26/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/26/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/27/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/27/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/27/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/28/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/28/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/28/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/29/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/29/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/29/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/30/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/30/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/30/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
12/31/2023,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
12/31/2023,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
12/31/2023,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/1/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/1/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/1/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/2/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/2/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/2/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/3/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/3/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/3/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/4/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/4/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/4/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/5/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/5/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/5/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/6/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/6/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/6/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/7/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/7/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/7/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/8/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/8/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/8/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/9/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/9/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/9/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/10/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/10/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/10/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/11/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/11/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/11/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/12/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/12/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/12/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/13/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/13/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/13/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/14/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/14/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/14/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/15/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/15/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/15/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/16/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/16/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/16/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/17/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/17/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/17/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/18/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/18/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/18/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/19/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/19/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/19/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/20/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/20/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/20/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/21/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/21/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/21/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/22/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/22/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/22/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/23/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/23/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/23/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/24/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/24/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/24/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/25/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/25/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/25/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/26/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/26/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/26/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/27/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/27/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/27/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/28/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/28/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/28/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/29/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/29/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/29/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/30/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
1/30/2024,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
1/30/2024,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
1/31/2024,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
